date,vendor_id,rate
01/08/2019,1,0.29
01/08/2019,2,0.07
01/08/2019,3,0.27
01/08/2019,4,0.14
01/08/2019,5,0.05
01/08/2019,6,0.24
01/08/2019,7,0.29
01/08/2019,8,0.22
01/08/2019,9,0.24
02/08/2019,1,0.27
02/08/2019,2,0.19
02/08/2019,3,0.17
02/08/2019,4,0.09
02/08/2019,5,0.12
02/08/2019,6,0.1
02/08/2019,7,0.2
02/08/2019,8,0.14
02/08/2019,9,0.12
03/08/2019,1,0.05
03/08/2019,2,0.17
03/08/2019,3,0.22
03/08/2019,4,0.15
03/08/2019,5,0.22
03/08/2019,6,0.25
03/08/2019,7,0.28
03/08/2019,8,0.22
03/08/2019,9,0.15
04/08/2019,1,0.09
04/08/2019,2,0.07
04/08/2019,3,0.19
04/08/2019,4,0.14
04/08/2019,5,0.12
04/08/2019,6,0.06
04/08/2019,7,0.19
04/08/2019,8,0.11
04/08/2019,9,0.14
05/08/2019,1,0.19
05/08/2019,2,0.15
05/08/2019,3,0.25
05/08/2019,4,0.2
05/08/2019,5,0.21
05/08/2019,6,0.16
05/08/2019,7,0.12
05/08/2019,8,0.16
05/08/2019,9,0.17
06/08/2019,1,0.23
06/08/2019,2,0.24
06/08/2019,3,0.27
06/08/2019,4,0.2
06/08/2019,5,0.27
06/08/2019,6,0.27
06/08/2019,7,0.25
06/08/2019,8,0.11
06/08/2019,9,0.26
07/08/2019,1,0.27
07/08/2019,2,0.23
07/08/2019,3,0.19
07/08/2019,4,0.07
07/08/2019,5,0.11
07/08/2019,6,0.15
07/08/2019,7,0.25
07/08/2019,8,0.21
07/08/2019,9,0.11
08/08/2019,1,0.17
08/08/2019,2,0.16
08/08/2019,3,0.13
08/08/2019,4,0.3
08/08/2019,5,0.24
08/08/2019,6,0.22
08/08/2019,7,0.06
08/08/2019,8,0.22
08/08/2019,9,0.1
09/08/2019,1,0.18
09/08/2019,2,0.06
09/08/2019,3,0.28
09/08/2019,4,0.18
09/08/2019,5,0.13
09/08/2019,6,0.12
09/08/2019,7,0.17
09/08/2019,8,0.09
09/08/2019,9,0.09
10/08/2019,1,0.23
10/08/2019,2,0.19
10/08/2019,3,0.24
10/08/2019,4,0.19
10/08/2019,5,0.07
10/08/2019,6,0.07
10/08/2019,7,0.27
10/08/2019,8,0.19
10/08/2019,9,0.16
11/08/2019,1,0.29
11/08/2019,2,0.28
11/08/2019,3,0.17
11/08/2019,4,0.22
11/08/2019,5,0.07
11/08/2019,6,0.24
11/08/2019,7,0.07
11/08/2019,8,0.16
11/08/2019,9,0.29
12/08/2019,1,0.23
12/08/2019,2,0.08
12/08/2019,3,0.17
12/08/2019,4,0.23
12/08/2019,5,0.06
12/08/2019,6,0.17
12/08/2019,7,0.12
12/08/2019,8,0.17
12/08/2019,9,0.08
13/08/2019,1,0.25
13/08/2019,2,0.13
13/08/2019,3,0.08
13/08/2019,4,0.05
13/08/2019,5,0.24
13/08/2019,6,0.2
13/08/2019,7,0.13
13/08/2019,8,0.09
13/08/2019,9,0.11
14/08/2019,1,0.1
14/08/2019,2,0.1
14/08/2019,3,0.08
14/08/2019,4,0.24
14/08/2019,5,0.28
14/08/2019,6,0.13
14/08/2019,7,0.21
14/08/2019,8,0.18
14/08/2019,9,0.13
15/08/2019,1,0.28
15/08/2019,2,0.18
15/08/2019,3,0.18
15/08/2019,4,0.23
15/08/2019,5,0.17
15/08/2019,6,0.17
15/08/2019,7,0.12
15/08/2019,8,0.26
15/08/2019,9,0.25
16/08/2019,1,0.2
16/08/2019,2,0.05
16/08/2019,3,0.15
16/08/2019,4,0.12
16/08/2019,5,0.22
16/08/2019,6,0.3
16/08/2019,7,0.29
16/08/2019,8,0.29
16/08/2019,9,0.05
17/08/2019,1,0.29
17/08/2019,2,0.07
17/08/2019,3,0.16
17/08/2019,4,0.24
17/08/2019,5,0.21
17/08/2019,6,0.28
17/08/2019,7,0.17
17/08/2019,8,0.29
17/08/2019,9,0.07
18/08/2019,1,0.18
18/08/2019,2,0.08
18/08/2019,3,0.07
18/08/2019,4,0.2
18/08/2019,5,0.15
18/08/2019,6,0.11
18/08/2019,7,0.25
18/08/2019,8,0.24
18/08/2019,9,0.21
19/08/2019,1,0.21
19/08/2019,2,0.21
19/08/2019,3,0.07
19/08/2019,4,0.3
19/08/2019,5,0.28
19/08/2019,6,0.07
19/08/2019,7,0.29
19/08/2019,8,0.28
19/08/2019,9,0.12
20/08/2019,1,0.19
20/08/2019,2,0.29
20/08/2019,3,0.21
20/08/2019,4,0.15
20/08/2019,5,0.18
20/08/2019,6,0.28
20/08/2019,7,0.13
20/08/2019,8,0.07
20/08/2019,9,0.16
21/08/2019,1,0.21
21/08/2019,2,0.06
21/08/2019,3,0.07
21/08/2019,4,0.18
21/08/2019,5,0.13
21/08/2019,6,0.23
21/08/2019,7,0.26
21/08/2019,8,0.28
21/08/2019,9,0.09
22/08/2019,1,0.24
22/08/2019,2,0.2
22/08/2019,3,0.16
22/08/2019,4,0.18
22/08/2019,5,0.2
22/08/2019,6,0.11
22/08/2019,7,0.07
22/08/2019,8,0.21
22/08/2019,9,0.23
23/08/2019,1,0.3
23/08/2019,2,0.29
23/08/2019,3,0.23
23/08/2019,4,0.09
23/08/2019,5,0.21
23/08/2019,6,0.08
23/08/2019,7,0.27
23/08/2019,8,0.2
23/08/2019,9,0.07
24/08/2019,1,0.28
24/08/2019,2,0.11
24/08/2019,3,0.29
24/08/2019,4,0.19
24/08/2019,5,0.09
24/08/2019,6,0.28
24/08/2019,7,0.26
24/08/2019,8,0.22
24/08/2019,9,0.06
25/08/2019,1,0.2
25/08/2019,2,0.19
25/08/2019,3,0.23
25/08/2019,4,0.29
25/08/2019,5,0.19
25/08/2019,6,0.13
25/08/2019,7,0.16
25/08/2019,8,0.28
25/08/2019,9,0.07
26/08/2019,1,0.07
26/08/2019,2,0.21
26/08/2019,3,0.13
26/08/2019,4,0.2
26/08/2019,5,0.2
26/08/2019,6,0.24
26/08/2019,7,0.19
26/08/2019,8,0.16
26/08/2019,9,0.23
27/08/2019,1,0.07
27/08/2019,2,0.3
27/08/2019,3,0.15
27/08/2019,4,0.08
27/08/2019,5,0.16
27/08/2019,6,0.2
27/08/2019,7,0.1
27/08/2019,8,0.05
27/08/2019,9,0.1
28/08/2019,1,0.13
28/08/2019,2,0.16
28/08/2019,3,0.24
28/08/2019,4,0.17
28/08/2019,5,0.19
28/08/2019,6,0.09
28/08/2019,7,0.15
28/08/2019,8,0.26
28/08/2019,9,0.18
29/08/2019,1,0.19
29/08/2019,2,0.28
29/08/2019,3,0.24
29/08/2019,4,0.15
29/08/2019,5,0.3
29/08/2019,6,0.09
29/08/2019,7,0.07
29/08/2019,8,0.08
29/08/2019,9,0.13
30/08/2019,1,0.16
30/08/2019,2,0.1
30/08/2019,3,0.27
30/08/2019,4,0.22
30/08/2019,5,0.26
30/08/2019,6,0.19
30/08/2019,7,0.24
30/08/2019,8,0.3
30/08/2019,9,0.3
31/08/2019,1,0.16
31/08/2019,2,0.1
31/08/2019,3,0.07
31/08/2019,4,0.14
31/08/2019,5,0.14
31/08/2019,6,0.19
31/08/2019,7,0.2
31/08/2019,8,0.29
31/08/2019,9,0.08
01/09/2019,1,0.26
01/09/2019,2,0.11
01/09/2019,3,0.14
01/09/2019,4,0.2
01/09/2019,5,0.16
01/09/2019,6,0.21
01/09/2019,7,0.09
01/09/2019,8,0.16
01/09/2019,9,0.19
02/09/2019,1,0.26
02/09/2019,2,0.07
02/09/2019,3,0.25
02/09/2019,4,0.21
02/09/2019,5,0.25
02/09/2019,6,0.12
02/09/2019,7,0.05
02/09/2019,8,0.1
02/09/2019,9,0.11
03/09/2019,1,0.23
03/09/2019,2,0.18
03/09/2019,3,0.14
03/09/2019,4,0.26
03/09/2019,5,0.26
03/09/2019,6,0.1
03/09/2019,7,0.17
03/09/2019,8,0.29
03/09/2019,9,0.22
04/09/2019,1,0.27
04/09/2019,2,0.2
04/09/2019,3,0.26
04/09/2019,4,0.06
04/09/2019,5,0.29
04/09/2019,6,0.13
04/09/2019,7,0.12
04/09/2019,8,0.15
04/09/2019,9,0.1
05/09/2019,1,0.06
05/09/2019,2,0.09
05/09/2019,3,0.24
05/09/2019,4,0.26
05/09/2019,5,0.29
05/09/2019,6,0.15
05/09/2019,7,0.09
05/09/2019,8,0.19
05/09/2019,9,0.21
06/09/2019,1,0.21
06/09/2019,2,0.05
06/09/2019,3,0.27
06/09/2019,4,0.05
06/09/2019,5,0.09
06/09/2019,6,0.19
06/09/2019,7,0.23
06/09/2019,8,0.17
06/09/2019,9,0.07
07/09/2019,1,0.2
07/09/2019,2,0.13
07/09/2019,3,0.18
07/09/2019,4,0.21
07/09/2019,5,0.09
07/09/2019,6,0.05
07/09/2019,7,0.26
07/09/2019,8,0.29
07/09/2019,9,0.06
08/09/2019,1,0.25
08/09/2019,2,0.26
08/09/2019,3,0.28
08/09/2019,4,0.3
08/09/2019,5,0.17
08/09/2019,6,0.21
08/09/2019,7,0.15
08/09/2019,8,0.21
08/09/2019,9,0.16
09/09/2019,1,0.25
09/09/2019,2,0.22
09/09/2019,3,0.07
09/09/2019,4,0.19
09/09/2019,5,0.22
09/09/2019,6,0.07
